player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Collin Sexton,2025-12-23,SELL_HIGH,0.489,25.3,0.565,20.8,0.462,15.6,True,PASSED
Cooper Flagg,2025-11-21,SELL_HIGH,0.455,33.8,0.551,36.2,0.481,21.2,True,PASSED
Cooper Flagg,2025-11-22,SELL_HIGH,0.47,33.7,0.562,35.6,0.457,19.5,True,PASSED
Cooper Flagg,2025-11-24,SELL_HIGH,0.457,33.6,0.534,35.4,0.532,16.9,True,PASSED
Cooper Flagg,2025-12-06,SELL_HIGH,0.475,33.6,0.553,33.4,0.489,16.3,True,PASSED
Cooper Flagg,2025-12-12,SELL_HIGH,0.475,33.7,0.55,33.4,0.489,15.8,True,PASSED
Cooper Flagg,2025-12-15,SELL_HIGH,0.482,33.7,0.554,32.6,0.505,15.0,True,PASSED
Cooper Flagg,2025-12-29,SELL_HIGH,0.494,34.6,0.573,36.4,0.4,16.1,True,PASSED
Corey Kispert,2025-11-21,BUY_LOW,0.474,18.5,0.381,18.4,0.535,-19.6,True,PASSED
Craig Porter Jr.,2025-12-12,BUY_LOW,0.511,17.1,0.421,16.4,0.692,-17.5,True,PASSED
Craig Porter Jr.,2026-01-02,BUY_LOW,0.504,16.5,0.368,17.2,0.4,-26.9,True,PASSED
D'Angelo Russell,2025-12-06,SELL_HIGH,0.404,20.6,0.5,16.8,0.421,23.8,True,PASSED
Dalton Knecht,2025-11-25,SELL_HIGH,0.464,17.9,0.542,15.6,0.471,16.7,True,PASSED
Dalton Knecht,2025-11-30,SELL_HIGH,0.464,16.7,0.6,13.6,0.5,29.2,True,PASSED
Daniel Gafford,2025-12-03,BUY_LOW,0.617,23.4,0.52,24.4,0.5,-15.8,False,PASSED
Daniel Gafford,2025-12-15,BUY_LOW,0.61,22.8,0.478,22.2,0.538,-21.6,True,PASSED
Daniel Gafford,2025-12-18,BUY_LOW,0.614,22.2,0.474,19.8,0.6,-22.9,True,PASSED
Daniss Jenkins,2025-12-05,BUY_LOW,0.446,18.8,0.233,16.4,0.421,-47.7,True,PASSED
Daniss Jenkins,2025-12-06,BUY_LOW,0.44,18.6,0.235,17.6,0.438,-46.6,True,PASSED
Daniss Jenkins,2025-12-12,BUY_LOW,0.444,17.8,0.273,16.8,0.364,-38.6,True,PASSED
Daniss Jenkins,2025-12-15,BUY_LOW,0.446,17.6,0.273,16.4,0.32,-38.9,True,PASSED
Danny Wolf,2025-12-29,BUY_LOW,0.39,18.1,0.279,20.4,0.367,-28.5,True,PASSED
Danny Wolf,2026-01-01,BUY_LOW,0.383,18.2,0.273,19.6,0.417,-28.8,True,PASSED
Danny Wolf,2026-01-02,BUY_LOW,0.385,18.8,0.281,21.4,0.405,-26.9,True,PASSED
Darius Garland,2025-12-25,SELL_HIGH,0.397,30.0,0.465,32.2,0.492,17.1,False,PASSED
Darius Garland,2025-12-27,SELL_HIGH,0.403,30.4,0.481,31.6,0.484,19.3,False,PASSED
Darius Garland,2025-12-29,SELL_HIGH,0.409,30.0,0.514,30.4,0.513,25.5,True,PASSED
Darius Garland,2025-12-31,SELL_HIGH,0.408,30.1,0.5,30.0,0.519,22.6,False,PASSED
Darius Garland,2026-01-02,SELL_HIGH,0.414,30.0,0.483,29.8,0.557,16.6,False,PASSED
Darius Garland,2026-01-04,SELL_HIGH,0.418,30.1,0.492,30.4,0.536,17.7,False,PASSED
Davion Mitchell,2025-12-29,BUY_LOW,0.483,29.9,0.359,27.2,0.4,-25.7,True,PASSED
Davion Mitchell,2026-01-01,BUY_LOW,0.483,30.0,0.361,27.6,0.368,-25.3,True,PASSED
Davion Mitchell,2026-01-03,BUY_LOW,0.482,30.1,0.314,28.0,0.421,-34.8,True,PASSED
Day'Ron Sharpe,2025-12-01,BUY_LOW,0.589,16.1,0.444,17.0,0.6,-24.5,True,PASSED
Day'Ron Sharpe,2025-12-03,BUY_LOW,0.584,16.1,0.45,17.4,0.63,-23.0,True,PASSED
Day'Ron Sharpe,2025-12-04,BUY_LOW,0.575,15.9,0.381,16.6,0.643,-33.7,True,PASSED
Day'Ron Sharpe,2025-12-06,BUY_LOW,0.575,16.0,0.417,16.0,0.68,-27.5,True,PASSED
Day'Ron Sharpe,2025-12-29,SELL_HIGH,0.615,16.3,0.708,17.6,0.559,15.2,True,PASSED
De'Andre Hunter,2025-11-17,SELL_HIGH,0.442,29.0,0.528,30.4,0.517,19.5,True,PASSED
De'Andre Hunter,2025-12-12,BUY_LOW,0.444,28.8,0.362,27.8,0.396,-18.5,True,PASSED
De'Andre Hunter,2025-12-14,BUY_LOW,0.436,28.7,0.353,27.8,0.423,-19.0,True,PASSED
De'Andre Hunter,2025-12-17,BUY_LOW,0.429,28.6,0.312,27.6,0.462,-27.1,True,PASSED
De'Andre Hunter,2025-12-19,BUY_LOW,0.429,28.6,0.333,27.2,0.4,-22.3,True,PASSED
De'Andre Hunter,2025-12-22,BUY_LOW,0.425,28.5,0.286,28.2,0.429,-32.7,True,PASSED
De'Andre Hunter,2026-01-04,BUY_LOW,0.425,27.7,0.354,24.2,0.421,-16.7,True,PASSED
DeMar DeRozan,2025-11-26,SELL_HIGH,0.5,32.7,0.582,30.4,0.492,16.4,True,PASSED
Dean Wade,2025-11-19,SELL_HIGH,0.382,22.3,0.458,24.2,0.318,19.9,True,PASSED
Dean Wade,2025-12-19,SELL_HIGH,0.379,22.6,0.44,25.0,0.419,16.1,True,PASSED
Dean Wade,2025-12-25,SELL_HIGH,0.386,23.1,0.455,27.0,0.458,17.7,False,PASSED
Dennis Schröder,2025-11-16,BUY_LOW,0.383,30.0,0.225,25.6,0.431,-41.2,True,PASSED
Derik Queen,2025-12-18,SELL_HIGH,0.504,25.3,0.6,29.6,0.542,19.1,True,PASSED
Derik Queen,2026-01-04,BUY_LOW,0.5,25.9,0.414,25.2,0.471,-17.2,True,PASSED
Derrick Jones Jr.,2025-11-16,BUY_LOW,0.54,26.0,0.432,28.4,0.6,-20.0,True,PASSED
Derrick White,2025-11-16,SELL_HIGH,0.352,32.4,0.425,32.6,0.391,20.7,True,PASSED
Derrick White,2025-11-18,SELL_HIGH,0.356,32.9,0.415,34.6,0.382,16.3,True,PASSED
Derrick White,2025-12-05,SELL_HIGH,0.383,33.1,0.494,34.0,0.482,28.8,True,PASSED
Derrick White,2025-12-07,SELL_HIGH,0.388,33.0,0.5,32.8,0.429,28.8,True,PASSED
Derrick White,2025-12-11,SELL_HIGH,0.393,33.2,0.489,34.0,0.419,24.3,True,PASSED
Derrick White,2025-12-15,SELL_HIGH,0.389,33.0,0.476,32.0,0.438,22.5,True,PASSED
Derrick White,2025-12-19,SELL_HIGH,0.396,33.2,0.488,32.6,0.391,23.2,True,PASSED
Derrick White,2025-12-20,SELL_HIGH,0.404,33.3,0.482,34.0,0.373,19.4,True,PASSED
Devin Booker,2025-11-26,BUY_LOW,0.469,35.6,0.376,35.6,0.386,-19.7,True,PASSED
Devin Booker,2025-11-28,BUY_LOW,0.457,35.8,0.333,35.8,0.448,-27.1,True,PASSED
Devin Booker,2025-11-29,BUY_LOW,0.455,36.0,0.321,37.8,0.469,-29.3,True,PASSED
Devin Booker,2025-12-01,BUY_LOW,0.455,35.9,0.364,37.8,0.476,-20.0,True,PASSED
Devin Booker,2025-12-14,BUY_LOW,0.457,34.7,0.379,32.2,0.495,-17.0,True,PASSED
