player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Cam Spencer,2025-12-20,SELL_HIGH,0.515,21.8,0.681,27.6,0.426,32.2,True,UNFILTERED
Cam Whitmore,2025-11-21,SELL_HIGH,0.467,17.1,0.543,23.2,0.575,16.3,False,UNFILTERED
Cam Whitmore,2025-11-22,SELL_HIGH,0.474,17.1,0.548,20.8,0.476,15.5,True,UNFILTERED
Cam Whitmore,2025-11-25,SELL_HIGH,0.492,17.2,0.585,18.6,0.349,19.0,True,UNFILTERED
Cameron Johnson,2025-11-21,SELL_HIGH,0.418,26.0,0.5,25.2,0.577,19.5,False,UNFILTERED
Cameron Johnson,2025-11-22,SELL_HIGH,0.413,26.4,0.486,26.2,0.554,17.5,False,UNFILTERED
Cameron Johnson,2025-11-24,SELL_HIGH,0.435,27.1,0.55,29.2,0.519,26.5,True,UNFILTERED
Cameron Johnson,2025-11-28,SELL_HIGH,0.448,27.8,0.574,35.0,0.482,28.2,True,UNFILTERED
Cameron Johnson,2025-11-29,SELL_HIGH,0.468,28.4,0.608,35.2,0.404,29.9,True,UNFILTERED
Cameron Johnson,2025-12-01,SELL_HIGH,0.473,28.7,0.577,35.8,0.392,21.9,True,UNFILTERED
Cameron Johnson,2025-12-03,SELL_HIGH,0.462,29.1,0.554,36.6,0.44,19.7,True,UNFILTERED
Caris LeVert,2025-11-22,SELL_HIGH,0.507,19.6,0.615,20.4,0.436,21.3,True,UNFILTERED
Caris LeVert,2025-11-24,SELL_HIGH,0.493,19.0,0.59,19.0,0.372,19.5,True,UNFILTERED
Caris LeVert,2025-12-05,BUY_LOW,0.449,20.5,0.372,23.8,0.516,-17.2,True,UNFILTERED
Caris LeVert,2025-12-06,BUY_LOW,0.458,20.2,0.361,22.4,0.452,-21.2,True,UNFILTERED
Caris LeVert,2025-12-12,BUY_LOW,0.464,20.3,0.394,22.0,0.324,-15.1,False,UNFILTERED
Caris LeVert,2025-12-23,BUY_LOW,0.434,20.5,0.324,21.0,0.464,-25.4,True,UNFILTERED
Carter Bryant,2025-12-18,SELL_HIGH,0.333,7.9,0.429,11.2,0.5,28.6,False,UNFILTERED
Carter Bryant,2025-12-19,SELL_HIGH,0.358,8.0,0.533,10.0,0.25,48.8,True,UNFILTERED
Carter Bryant,2025-12-23,SELL_HIGH,0.352,8.0,0.462,9.4,0.25,31.2,True,UNFILTERED
Carter Bryant,2025-12-25,SELL_HIGH,0.364,7.7,0.5,7.2,0.167,37.5,True,UNFILTERED
Cason Wallace,2025-11-19,BUY_LOW,0.406,29.0,0.316,27.4,0.55,-22.2,True,UNFILTERED
Cason Wallace,2025-11-30,SELL_HIGH,0.445,28.9,0.55,28.8,0.448,23.5,True,UNFILTERED
Cason Wallace,2025-12-22,BUY_LOW,0.425,27.7,0.357,25.4,0.432,-15.9,True,UNFILTERED
Cason Wallace,2025-12-23,BUY_LOW,0.423,27.8,0.355,26.2,0.441,-16.1,True,UNFILTERED
Cason Wallace,2025-12-25,BUY_LOW,0.42,27.7,0.281,27.4,0.438,-33.1,True,UNFILTERED
Cason Wallace,2025-12-28,BUY_LOW,0.411,27.5,0.219,26.2,0.519,-46.8,True,UNFILTERED
Cason Wallace,2025-12-29,BUY_LOW,0.414,27.4,0.312,25.6,0.44,-24.6,True,UNFILTERED
Cedric Coward,2025-11-15,BUY_LOW,0.484,26.8,0.352,28.4,0.415,-27.3,True,UNFILTERED
Cedric Coward,2025-11-18,BUY_LOW,0.478,26.7,0.385,27.6,0.436,-19.5,True,UNFILTERED
Cedric Coward,2025-11-20,BUY_LOW,0.477,26.7,0.351,27.2,0.4,-26.4,True,UNFILTERED
Cedric Coward,2025-11-22,BUY_LOW,0.481,26.6,0.397,26.4,0.354,-17.6,False,UNFILTERED
Cedric Coward,2025-11-24,BUY_LOW,0.468,26.5,0.39,25.4,0.36,-16.7,False,UNFILTERED
Cedric Coward,2025-12-02,BUY_LOW,0.452,27.2,0.354,29.2,0.492,-21.7,True,UNFILTERED
Cedric Coward,2025-12-05,BUY_LOW,0.444,27.3,0.36,30.0,0.516,-18.9,True,UNFILTERED
Chet Holmgren,2025-11-30,BUY_LOW,0.552,29.4,0.468,28.8,0.667,-15.2,True,UNFILTERED
Chet Holmgren,2025-12-02,BUY_LOW,0.555,29.5,0.452,28.6,0.644,-18.6,True,UNFILTERED
Chet Holmgren,2025-12-28,BUY_LOW,0.563,28.7,0.469,28.8,0.65,-16.6,True,UNFILTERED
Clint Capela,2025-12-25,BUY_LOW,0.543,11.0,0.455,7.6,0.542,-16.3,True,UNFILTERED
Clint Capela,2025-12-29,BUY_LOW,0.538,11.0,0.444,9.0,0.5,-17.3,True,UNFILTERED
Cody Williams,2025-12-23,SELL_HIGH,0.34,12.6,0.412,11.8,0.5,21.2,False,UNFILTERED
Cody Williams,2025-12-27,SELL_HIGH,0.345,12.4,0.409,12.0,0.5,18.6,False,UNFILTERED
Cody Williams,2025-12-30,SELL_HIGH,0.364,12.7,0.423,14.2,0.5,16.3,False,UNFILTERED
Cody Williams,2026-01-03,SELL_HIGH,0.38,13.4,0.462,15.0,0.581,21.5,False,UNFILTERED
Cody Williams,2026-01-05,SELL_HIGH,0.398,13.4,0.5,16.0,0.529,25.8,False,UNFILTERED
Cole Anthony,2025-11-15,BUY_LOW,0.45,19.6,0.367,18.2,0.378,-18.4,True,UNFILTERED
Cole Anthony,2025-11-17,BUY_LOW,0.431,19.5,0.325,17.4,0.359,-24.6,True,UNFILTERED
